fade_in_time,stimulus_alpha,fade_out_length,trial_index,animation_performance,button_pressed,within_ITI,bProblem,timing_post_trial,question,time_elapsed,stimulus_side,sProblem,internal_node_id,key_press,rt,responses,Trial,uniqueid,timing_response,reverse,acc,trial_type,trial_began,success,stimulus,train_repeats,fade_out_time,Subject
,,,262,,,,,,Environment laws,1502583,,,0.0-20.0,,2556,"{""Q0"":5}",38,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,False,,survey-likert,,,,1,,1
,,,263,,,,,,Death penalty,1506063,,,0.0-21.0,,3476,"{""Q0"":6}",39,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,False,,survey-likert,,,,1,,1
,,,264,,,,,,Homosexuals,1508472,,,0.0-22.0,,2403,"{""Q0"":5}",40,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
,,,265,,,,,,Gun control,1512247,,,0.0-23.0,,3773,"{""Q0"":6}",41,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,True,,survey-likert,,,,1,,1
,,,266,,,,,,,1516318,,,0.0-24.0,,4067,"{""Q0"":""Yes""}",42,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-multi-choice,,,,1,,1
,,,267,,,,,,,1519518,,,0.0-25.0-0.0,,3160,"{""Q0"":5}",43,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-likert,,,,1,,1
,,,268,,,,,,,1527110,,,0.0-25.0-1.0,,7589,"{""Q0"":""0""}",44,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-text,,,,1,,1
,,,269,,,,,,,1532855,,,0.0-26.0,,5742,"{""Q0"":""0""}",45,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,survey-text,,,,1,,1
,,,270,,,,,,,1540719,,,0.0-27.0,32,7863,,46,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,,,,html-keyboard-response,,,"<div class=""center"">Thank you for participating in this study!<p>    In this study we were interested in examining reaction-times and     precision in a dynamic environment.</p>    <p>Once you press the space bar, your results will be uploaded to the     server, and the HIT will complete. <b>This may take several minutes - do not     refresh or close your browser during this time.</b></p>    <p>Press the space bar to complete this HIT.</p></div>",1,,1
1,0.4,5,0,"{u'stim_duration': [33, 36, 48, 33, 33, 39, 33, 33, 33, 34, 32, 34, 34, 33, 33, 32, 33, 33, 32, 32, 33, 33, 33, 33, 34, 30, 33, 33, 33, 33, 32, 33, 33, 36, 24, 32, 33, 33, 34, None], u'mond_duration': [24, 66, 65, 51, 67, 66, 62, 67, 67, 67, 67, 67, 66, 66, 68, 67, 67, 67, 68, 68, 67, 67, 67, 67, 67, 69, 67, 67, 67, 67, 68, 67, 67, 67, 73, 68, 67, 67, 67, 66], u'nums': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]}",,900,0,100,,9444,0,0,0.0-0.0-0.0,-1,-1,,1,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,4,,0,bRMS-test,1531986556244,,../static/images/f179.jpg,1,15,2
1,0.4,5,1,"{u'stim_duration': [37, 33, 33, 34, 33, 36, 31, 31, 33, 35, 33, 33, 33, 33, 33, 32, 33, 34, 34, 32, 33, 33, 33, 33, 33, 33, 33, 33, 33, 34, 33, 33, 32, 33, 34, 33, 33, 34, 33, None], u'mond_duration': [57, 67, 67, 68, 66, 67, 67, 69, 69, 65, 63, 67, 67, 67, 67, 68, 67, 66, 66, 67, 68, 67, 67, 67, 67, 67, 67, 67, 67, 66, 67, 67, 67, 68, 66, 66, 68, 66, 67, 67], u'nums': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]}",,900,0,100,,17713,0,0,0.0-0.0-1.0,-1,-1,,2,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,4,,0,bRMS-test,1531986565815,,../static/images/f043.jpg,1,15,2
1,0.4,5,2,"{u'stim_duration': [33, 34, 33, 34, 33, 33, 32, 33, 33, 32, 32, 33, 33, 33, 33, 31, 31, 32, 32, 31, 32, 33, 32, 35, 32, 32, 31, 33, 32, 34, 32, 33, 35, 33, 35, 33, 34, 34, 33, None], u'mond_duration': [63, 66, 67, 67, 66, 67, 67, 67, 68, 68, 68, 66, 69, 67, 67, 67, 69, 69, 68, 67, 69, 68, 68, 66, 67, 68, 68, 68, 67, 68, 66, 69, 65, 67, 67, 64, 67, 66, 67, 67], u'nums': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]}",,900,0,100,,26284,1,0,0.0-0.0-2.0,-1,-1,,3,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,4,,0,bRMS-test,1531986573949,,../static/images/f143.jpg,1,15,2
,,,3,,,,,,,35962,,,0.0-2.0,,,,4,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,fullscreen,,True,,1,,2
,,,4,,,,,,,42658,,,0.0-3.0-0.0,32,6692,,5,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'>Welcome to the study!<br>     <p>Your participation will help us investigate human precision and reaction-times in dynamic environments.</p>    <p>Please read the instructions carefully.</p>    <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,5,,,,,,,50418,,,0.0-3.0-1.0,32,7760,,6,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><p>We will begin by calibrating the experiment       for the size of your screen.</p>      <p>After this short calibration, we will continue to the main task for       this study.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,6,,,,,,,56394,,,0.0-3.0-2.0,32,5974,,7,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><p>For the calibration stage, you will need a coin.</p>      <p>Any US coin will do.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,7,,,,,,,67113,,,0.0-3.0-3.0,32,10714,,8,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><img src='/static/images/coin_demo.jpg' height='400'></img>      <p>You will be asked to position the coin      as shown in the picture. You will place it against your screen,      within an empty circle presented to you.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,8,,,,,,,74050,,,0.0-3.0-4.0,32,6935,,9,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><p>Using the up and down arrow keys,       you will then adjust the size of the empty circle, so that it matches the       size of your coin.</p>      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,9,,,,,,,80305,,,0.0-3.0-5.0,32,6253,,10,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><p>Take your time in doing so, as this measurement      will be used throughout the study to make sure images are presented to       you in their correct size.</p>      <p>When you are done adjusting the circle size, press the space bar to       continue to the main task.      <p align='center'><i>Press the space bar to continue.</i></p></div>""]",1,,2
,,,10,,,,,,,82686,,,0.0-3.0-6.0,32,2381,,11,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"[u""<div class='center'><p>Please have a coin at hand.</p>      <p>Press the space bar to start the calibration stage.</p></div>""]",1,,2
,,,11,,0,,,,,100058,,,0.0-4.0-0.0-0.0,,17368,,12,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-button-response,,,"Using the mouse, select the coin you would like to use:",1,,2
,,,12,,,,,,,105181,,,0.0-4.0-0.0-1.0-0.0,38,5120,,13,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""211.9"" r=""38.1"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""561.9"" y=""173.8"" width=""76.2"" height=""76.2"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""211.9"" r=""38.1"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,13,,,,,,,105731,,,0.0-4.0-0.0-1.1-0.1,38,545,,14,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""209.995"" r=""40.005"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""559.995"" y=""169.99"" width=""80.01"" height=""80.01"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""209.995"" r=""40.005"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,14,,,,,,,105959,,,0.0-4.0-0.0-1.2-0.2,38,226,,15,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""208.09"" r=""41.910000000000004"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""558.09"" y=""166.18"" width=""83.82000000000001"" height=""83.82000000000001"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""208.09"" r=""41.910000000000004"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,15,,,,,,,106160,,,0.0-4.0-0.0-1.3-0.3,38,198,,16,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""206.185"" r=""43.815000000000005"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""556.185"" y=""162.37"" width=""87.63000000000001"" height=""87.63000000000001"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""206.185"" r=""43.815000000000005"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,16,,,,,,,106347,,,0.0-4.0-0.0-1.4-0.4,38,185,,17,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""204.28"" r=""45.720000000000006"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""554.28"" y=""158.56"" width=""91.44000000000001"" height=""91.44000000000001"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""204.28"" r=""45.720000000000006"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,17,,,,,,,106541,,,0.0-4.0-0.0-1.5-0.5,38,192,,18,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""202.375"" r=""47.62500000000001"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""552.375"" y=""154.75"" width=""95.25000000000001"" height=""95.25000000000001"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""202.375"" r=""47.62500000000001"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,18,,,,,,,106705,,,0.0-4.0-0.0-1.6-0.6,38,163,,19,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""200.46999999999997"" r=""49.530000000000015"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""550.47"" y=""150.93999999999997"" width=""99.06000000000003"" height=""99.06000000000003"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""200.46999999999997"" r=""49.530000000000015"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
,,,19,,,,,,,107207,,,0.0-4.0-0.0-1.7-0.7,38,500,,20,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,,,,html-keyboard-response,,,"<svg style=""block: inline"" width=""800"" height=""300"">  <circle cx=""200"" cy=""198.565"" r=""51.43500000000002"" stroke=""black"" stroke-width=""2"" fill=""grey"" />  <line x1=""0"" y1=""250"" x2=""1000"" y2=""250"" style=""stroke:black;stroke-width:2"" />  <image x=""548.5649999999999"" y=""147.12999999999997"" width=""102.87000000000003"" height=""102.87000000000003"" style:""block: inline"" xlink:href=""/static/images/Penny.png""></image>    <circle cx=""600"" cy=""198.565"" r=""51.43500000000002"" stroke=""black"" stroke-width=""2"" fill-opacity=""0"" /></svg>",1,,2
